Over-ear Wireless Headphones	Audio	1400	Good	photos/headphones.jpg	Over-ear listening for study sessions. Cushioned ear cups; light wear on the headband.
Compact Wireless Earbuds	Audio	1100	Good	photos/earbuds.jpg	Pocket-sized charging case and in-ear design for the daily commute.
Wired Studio Headphones	Audio	850	Good	generated/wired-studio-headphones.png	A wired pair for online classes, editing and late-night music.
Paperback Reading Bundle	Books	350	Good	generated/paperback-reading-bundle.png	A small bundle of paperback reads for your semester break.
Engineering Reference Books	Books	650	Good	generated/engineering-reference-books.png	Reference-book bundle for your study shelf; some pages have pencil notes.
Fiction Book Collection	Books	500	Like New	generated/fiction-book-collection.png	A reading collection with clean pages and well-kept covers.
Graphite Pencil Set	Stationery	80	Like New	generated/graphite-pencil-set.png	A set of graphite pencils for writing, sketching and class notes.
Colour Pencil Collection	Stationery	180	Good	generated/colour-pencil-collection.png	Assorted coloured pencils for illustrations and creative assignments.
Spiral Study Notebook	Stationery	90	Like New	photos/notebook.jpg	An unused notebook for lectures, revision and daily planning.
Sketchbook and Drawing Pencils	Stationery	220	Good	generated/sketchbook-drawing-pencils.png	A starter drawing bundle for design practice and rough sketches.
Semester Planner Notebook	Stationery	120	Like New	generated/semester-planner.png	Plan assignments and weekly study goals in one place.
Compact Study Laptop	Electronics	18000	Good	photos/laptop.jpg	A pre-owned laptop for coursework. Confirm specifications and battery condition with the seller.
Desktop Keyboard	Electronics	650	Good	photos/keyboard.jpg	A full-size keyboard for a comfortable study setup.
Photography Camera	Electronics	12500	Good	photos/camera.jpg	Pre-owned camera for a photography club or creative project. Inspect the lens and controls at pickup.
Scientific Calculator	Electronics	550	Good	photos/calculator.jpg	A calculator for everyday coursework. Confirm permitted models before an examination.
Study Desk	Furniture	1800	Good	photos/desk.jpg	A compact desk for a study corner. Collect from campus accommodation.
Desk Chair	Furniture	950	Good	photos/chair.jpg	A comfortable chair for a desk setup; minor cosmetic wear.
Reading Lamp	Hostel Essentials	450	Good	photos/lamp.jpg	A tabletop lamp for a bedside or reading corner.
Ceramic Coffee Mug	Hostel Essentials	120	Like New	photos/mug.jpg	A ceramic mug for your hostel tea and coffee breaks.
Everyday Campus Backpack	Bags	600	Good	photos/backpack.jpg	A roomy everyday bag for books, notes and campus essentials.
Weekend Travel Backpack	Bags	900	Good	generated/weekend-travel-backpack.png	A backpack for a short trip home or a weekend away.
Outdoor Basketball	Sports	450	Good	photos/basketball.jpg	A basketball for casual games on the campus court.
Practice Basketball	Sports	350	Fair	generated/practice-basketball.png	A well-used ball for practice sessions; visible surface wear.
Acoustic Guitar	Music	2200	Good	photos/guitar.jpg	A beginner-friendly acoustic guitar for practice and campus jam sessions.
